survey_prefix,area_code,datatype_code,size_code,ownership_code,industry_code,industry_title,year,aggregation_level,first_quarter_status_code,first_quarter_number_of_establishments,january_employment,february_employment,march_employment,first_quarter_total_wages,first_quarter_taxable_wages,first_quarter_contributions,first_quarter_average_weekly_wage,second_quarter_status_code,second_quarter_number_of_establishments,april_employment,may_employment,june_employment,second_quarter_total_wages,second_quarter_taxable_wages,second_quarter_contributions,second_quarter_average_weekly_wage,third_quarter_status_code,third_quarter_number_of_establishments,july_employment,august_employment,september_employment,third_quarter_total_wages,third_quarter_taxable_wages,third_quarter_contributions,third_quarter_average_weekly_wage,fourth_quarter_status_code,fourth_quarter_number_of_establishments,october_employment,november_employment,december_employment,fourth_quarter_total_wages,fourth_quarter_taxable_wages,fourth_quarter_contributions,fourth_quarter_average_weekly_wage,annual_status_code,annual_average_number_of_establishments,annual_average_employment,annual_total_wages,annual_taxable_wages,annual_contributions,annual_average_weekly_wage,annual_average_pay
ENU,48423,0,0,0,10,"Total, all industries",2010,70,,5329,89868,89840,90746,833332644,394364505,10275362,711,,5357,91737,91975,92351,887658826,155751704,3321182,742,,5403,89721,90155,91445,898426160,89834368,1887997,764,,5443,92365,92521,93152,999238864,73963396,1607864,829,,5383,91323,3618656494,713913973,17092405,762,39625
ENU,48423,0,0,1,10,"Total, all industries",2010,71,,35,903,887,901,13667881,0,0,1172,,34,902,989,952,16023305,0,0,1301,,34,923,890,884,13654456,0,0,1168,,34,886,882,884,16141759,0,0,1405,,34,907,59487401,0,0,1261,65593
ENU,48423,0,0,1,102,Service-Providing,2010,72,,35,903,887,901,13667881,0,0,1172,,34,902,989,952,16023305,0,0,1301,,34,923,890,884,13654456,0,0,1168,,34,886,882,884,16141759,0,0,1405,,34,907,59487401,0,0,1261,65593
ENU,48423,0,0,1,1021,"Trade, Transportation, and Utilities",2010,73,,10,585,571,571,7543273,0,0,1008,,10,568,557,560,8641633,0,0,1184,,10,561,555,554,7454263,0,0,1030,,10,560,556,557,8996762,0,0,1241,,10,563,32635931,0,0,1115,57976
ENU,48423,0,0,1,1023,Financial Activities,2010,73,,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ENU,48423,0,0,1,1025,Education and Health Services,2010,73,,1,21,21,21,319123,0,0,1169,,1,19,17,20,373197,0,0,1538,,1,19,19,21,320106,0,0,1252,,1,21,21,21,372697,0,0,1365,,1,20,1385123,0,0,1326,68969
ENU,48423,0,0,1,1028,Public Administration,2010,73,,23,297,295,309,5805485,0,0,1487,,23,315,415,372,7008475,0,0,1468,,23,343,316,309,5880087,0,0,1402,,23,305,305,306,6772300,0,0,1706,,23,324,25466347,0,0,1512,78620
ENU,48423,0,0,1,48-49,Transportation and warehousing,2010,74,,10,585,571,571,7543273,0,0,1008,,10,568,557,560,8641633,0,0,1184,,10,561,555,554,7454263,0,0,1030,,10,560,556,557,8996762,0,0,1241,,10,563,32635931,0,0,1115,57976
ENU,48423,0,0,1,491,Postal service,2010,75,,10,585,571,571,7543273,0,0,1008,,10,568,557,560,8641633,0,0,1184,,10,561,555,554,7454263,0,0,1030,,10,560,556,557,8996762,0,0,1241,,10,563,32635931,0,0,1115,57976
ENU,48423,0,0,1,4911,Postal service,2010,76,,10,585,571,571,7543273,0,0,1008,,10,568,557,560,8641633,0,0,1184,,10,561,555,554,7454263,0,0,1030,,10,560,556,557,8996762,0,0,1241,,10,563,32635931,0,0,1115,57976
ENU,48423,0,0,1,49111,Postal service,2010,77,,10,585,571,571,7543273,0,0,1008,,10,568,557,560,8641633,0,0,1184,,10,561,555,554,7454263,0,0,1030,,10,560,556,557,8996762,0,0,1241,,10,563,32635931,0,0,1115,57976
ENU,48423,0,0,1,491110,Postal service,2010,78,,10,585,571,571,7543273,0,0,1008,,10,568,557,560,8641633,0,0,1184,,10,561,555,554,7454263,0,0,1030,,10,560,556,557,8996762,0,0,1241,,10,563,32635931,0,0,1115,57976
ENU,48423,0,0,1,52,Finance and insurance,2010,74,,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ENU,48423,0,0,1,522,Credit intermediation and related activities,2010,75,,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ENU,48423,0,0,1,5222,Nondepository credit intermediation,2010,76,,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ENU,48423,0,0,1,52229,Other nondepository credit intermediation,2010,77,,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ENU,48423,0,0,1,522298,All other nondepository credit intermediation,2010,78,,1,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ENU,48423,0,0,1,62,Health care and social assistance,2010,74,,1,21,21,21,319123,0,0,1169,,1,19,17,20,373197,0,0,1538,,1,19,19,21,320106,0,0,1252,,1,21,21,21,372697,0,0,1365,,1,20,1385123,0,0,1326,68969
ENU,48423,0,0,1,621,Ambulatory health care services,2010,75,,1,21,21,21,319123,0,0,1169,,1,19,17,20,373197,0,0,1538,,1,19,19,21,320106,0,0,1252,,1,21,21,21,372697,0,0,1365,,1,20,1385123,0,0,1326,68969
ENU,48423,0,0,1,6214,Outpatient care centers,2010,76,,1,21,21,21,319123,0,0,1169,,1,19,17,20,373197,0,0,1538,,1,19,19,21,320106,0,0,1252,,1,21,21,21,372697,0,0,1365,,1,20,1385123,0,0,1326,68969
ENU,48423,0,0,1,62149,Other outpatient care centers,2010,77,,1,21,21,21,319123,0,0,1169,,1,19,17,20,373197,0,0,1538,,1,19,19,21,320106,0,0,1252,,1,21,21,21,372697,0,0,1365,,1,20,1385123,0,0,1326,68969
ENU,48423,0,0,1,621498,All other outpatient care centers,2010,78,,1,21,21,21,319123,0,0,1169,,1,19,17,20,373197,0,0,1538,,1,19,19,21,320106,0,0,1252,,1,21,21,21,372697,0,0,1365,,1,20,1385123,0,0,1326,68969
ENU,48423,0,0,1,92,Public Administration,2010,74,,23,297,295,309,5805485,0,0,1487,,23,315,415,372,7008475,0,0,1468,,23,343,316,309,5880087,0,0,1402,,23,305,305,306,6772300,0,0,1706,,23,324,25466347,0,0,1512,78620
ENU,48423,0,0,1,921,"Executive, legislative and general government",2010,75,,3,30,30,32,519009,0,0,1302,,3,32,30,32,589685,0,0,1448,,3,33,31,32,557902,0,0,1341,,3,31,30,30,576127,0,0,1461,,3,31,2242723,0,0,1388,72152
ENU,48423,0,0,1,9211,"Executive, legislative and general government",2010,76,,3,30,30,32,519009,0,0,1302,,3,32,30,32,589685,0,0,1448,,3,33,31,32,557902,0,0,1341,,3,31,30,30,576127,0,0,1461,,3,31,2242723,0,0,1388,72152
ENU,48423,0,0,1,92113,Public finance activities,2010,77,,1,25,26,27,457217,0,0,1353,,1,28,27,27,532063,0,0,1497,,1,29,27,27,495583,0,0,1378,,1,26,26,25,515248,0,0,1544,,1,27,2000111,0,0,1442,75004
